[SETTINGS]
start	1
#scene list
[SCENES]
1	Textures/scene1.txt
2	Textures/scene2.txt
3	Textures/scene3.txt
4	Textures/sceneBoss.txt

# id	file_path	transparent_color_r	g	b	
[TEXTURES]

100	textures\1.png	255	0	255
101	textures\1.1.png	116	116	116
200	textures\2.png	255	0	255
300	textures\3.png	255	0	255
700	textures\boardHub.png	255	0	255

[SPRITES]
# Board
969	0	0	551	80	700
#0
700	11	121	24	134	700
#1
701	27	121	40	134	700
#2
702	41	121	54	134	700
#3
703	56	121	69	134	700
#4
704	71	121	83	134	700
#5
705	86	121	99	134	700
#6
706	101	121	114	134	700
#7
707	116	121	129	134	700
#8
708	131	121	144	134	700
#9
709	146	121	159	134	700
# Red Health
710	112	45	120	59	300
# White Health
711	134	45	142	59	300
# Pink Health
712	123	45	131	59	300
# SIMON
# idle right
10001	436	2	468	64	100
# idle left
10011	12	200	44	262	100
# walk right
10002	374	2	406	64	100	
10003	313	2	345	64	100
10004	256	2	288	64	100
# walk left
10012	74	200	106	262	100
10013	135	200	167	262	100
10014	192	200	224	262	100
# sit right
10021	196	18	228	64	100
# sit left
10031	252	216	284	262	100
# sit and whipping right
10022	16	67	48	113	100
10023	437	133	469	179	100
10024	375	133	407	179	100
# sit and whipping left
10032	432	265	464	311	100
10033	11	331	43	377	100
10034	73	331	105	377	100
# simon whipping right
10041	136	2	168	64	100
10042	75	2	107	64	100
10043	16	2	48	64	100
# simon whipping left
10051	312	200	344	262	100
10052	373	200	405	262	100
10053	432	200	464	262	100
# simon go up the stairs idle right
10060	190	68	222	130	100
# simon go up the stairs idle left
100601	258	266	290	328	100
# simon go up the stairs right
10061	190	68	222	130	100
10062	262	68	294	130	100
# simon go up the stairs left
100611	258	266	290	328	100
100622	318	266	350	328	100
# simon go down the stairs idle left
10070	130	266	162	328	100
# simon go down the stairs idle right
100701	318	68	350	130	100
# simon go down the stairs left
10071	130	266	162	328	100
10072	186	266	218	328	100
# simon go down the stairs right
100711	262	68	294	130	100
100722	318	68	350	130	100
# simon go up the stairs and whipping right
10081	129	134	161	196	100
10082	68	134	101	196	100
10083	9	134	41	196	100
# simon go up the stairs and whipping left
100811	319	332	351	384	100
100822	379	332	411	384	100
100833	439	332	471	384	100
# simon go down the stairs and whipping left
10091	130	332	162	394	100
10092	190	332	222	394	100
10093	250	332	282	394	100
# simon go down the stairs and whipping right
100911	318	134	350	196	100
100922	258	134	290	196	100
100933	198	134	230	196	100
# simon be attacking left
10101	438	70	470	132	100
# simon be attacking left
10102	10	268	42	330	100
# simon die right
10111	115	100	179	130	100
# simon die left
10112	60	299	124	329	100
# simon flickering right
