# id	file_path	transparent_color_r	g	b	
[TEXTURES]
# id	file_path	r	g	b	width	height 
# width, height only available for tilemap texture  
123	textures\tile_map3.png	255	0	255	128	1280
# id	left	top	right	bottom	texture_id
[SPRITES]
[ANIMATIONS]
#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
[TILEMAP]
1,2,3,4,9,10,11,11,17,18,11,12,19,20,25,26,27,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,33,34,35,36,
5,6,7,8,13,14,15,15,21,22,15,16,23,24,29,30,7,8,7,8,7,8,7,8,99,99,100,100,7,8,99,100,7,8,7,8,99,100,7,8,99,100,7,8,37,38,39,40,
1,2,43,44,11,12,9,10,11,12,11,12,23,24,49,50,43,44,33,34,51,52,43,44,17,18,33,34,51,52,25,26,43,44,33,34,51,52,17,18,33,34,51,52,57,58,39,40,
1,2,47,11,12,12,13,14,15,16,15,16,23,24,53,54,47,48,37,38,55,56,47,48,21,22,37,38,55,56,29,30,47,48,37,38,55,56,21,22,37,38,55,56,61,62,39,40,
2,2,11,11,11,12,11,12,9,10,17,18,23,24,43,44,17,18,59,60,65,66,17,18,43,44,67,68,73,74,49,50,99,100,67,82,75,82,43,44,59,60,75,76,43,44,39,40,
2,6,15,16,12,12,15,16,13,14,21,22,23,24,47,48,21,22,63,64,69,70,21,22,47,48,71,72,77,78,53,54,99,100,71,86,79,86,47,48,63,64,69,70,47,48,39,40,
1,2,17,18,11,12,1,2,3,4,3,4,23,24,57,58,43,44,57,58,73,74,43,44,17,18,81,82,83,84,43,44,99,100,81,82,81,86,17,18,59,60,73,74,31,32,89,90,
1,2,21,22,11,12,7,8,7,8,43,44,23,24,61,62,47,48,61,62,77,78,47,48,21,22,85,86,87,88,47,48,99,100,85,86,85,86,21,22,63,64,77,78,31,32,93,94,
1,2,5,6,15,16,17,18,11,12,43,44,23,24,43,44,17,18,27,28,43,44,11,12,11,12,89,90,43,44,17,18,99,100,43,44,43,44,43,44,43,44,99,100,31,32,91,92,
5,6,7,8,31,2,21,22,11,12,47,48,19,20,47,48,21,22,7,8,47,48,16,16,16,16,7,8,47,48,21,22,16,16,47,48,47,48,47,48,47,48,16,16,16,16,95,96,
5,6,11,12,1,2,3,4,11,11,11,12,23,24,31,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,27,28,27,28,27,28,
5,6,15,16,7,8,7,8,1,1,1,1,27,28,1,1,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,1,1,1,1,1,1,1,1,1,2,3,4
