# id	file_path	transparent_color_r	g	b	
[TEXTURES]
# id	file_path	r	g	b	width	height 
# width, height only available for tilemap texture  
123	textures\tile_map22.png	255	0	255	128	384
# id	left	top	right	bottom	texture_id
[SPRITES]
[ANIMATIONS]
#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
[TILEMAP]
1,2,3,4,5,6,7,8,23,23,5,6,3,4,23,23,7,8,23,23,3,4,7,8,23,23,23,23,3,4,1,1,
1,23,11,12,13,14,7,8,23,23,13,14,11,12,23,23,7,8,23,23,11,12,7,8,23,23,23,23,11,12,1,1,
17,18,5,6,23,23,7,8,19,18,3,4,23,23,23,23,7,8,3,4,23,23,7,8,19,18,3,4,23,23,1,1,
21,22,13,14,23,23,7,8,24,22,11,12,23,23,23,23,7,8,11,12,23,23,7,8,24,22,11,12,23,23,1,1,
26,25,23,23,3,4,7,8,24,25,23,23,30,31,30,31,7,8,5,6,23,23,7,8,24,25,30,31,23,23,1,1,
1,1,23,23,11,12,1,1,1,1,23,23,1,1,1,1,1,1,13,14,23,23,1,1,1,1,1,1,23,23,1,1,
1,23,23,23,24,25,7,8,1,1,23,23,23,23,1,1,1,23,30,31,19,18,1,1,5,6,19,18,23,23,1,1,
1,23,23,23,1,1,7,8,1,1,23,23,23,23,1,1,1,23,1,1,24,22,1,1,13,14,24,22,32,37,1,1,
1,23,3,4,5,6,7,8,1,1,23,23,3,4,1,1,1,23,23,23,24,22,1,1,23,23,23,34,7,8,1,1,
1,23,11,12,13,14,7,8,1,1,23,23,11,12,1,1,1,23,23,23,1,1,1,1,23,23,34,23,7,8,1,1,
1,23,30,18,23,23,7,8,1,1,23,23,23,23,1,1,1,23,23,23,23,23,23,23,23,34,23,23,7,8,1,1,
1,2,24,25,2,2,7,8,1,1,23,23,23,23,1,1,1,23,23,23,23,23,23,23,34,23,23,23,7,8,1,1
