# id	file_path	transparent_color_r	g	b	
[TEXTURES]
# id	file_path	r	g	b	width	height 
# width, height only available for tilemap texture  
123	textures\0.png	255	0	255	544	288
# id	left	top	right	bottom	texture_id
[SPRITES]
[ANIMATIONS]
#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
[TILEMAP]
76,77,76,77,143,144,42,43,76,77,105,106,8,9,76,77,105,106,27,28,94,96,132,133,76,77,130,131,143,144,132,133,76,77,130,131,105,106,132,133,76,77,10,11,8,9,46,115,
93,94,93,94,110,111,59,60,93,94,110,111,25,26,76,77,110,111,44,45,93,94,149,150,93,94,147,148,110,111,149,150,93,94,147,148,110,111,149,150,93,94,27,11,25,26,63,115,
76,77,42,43,110,111,76,77,76,77,110,111,79,79,76,77,110,111,61,62,42,43,76,77,105,106,130,131,110,111,132,133,105,106,130,131,110,111,132,133,143,144,27,28,79,79,80,115,
93,94,59,60,110,111,93,94,93,94,110,111,79,79,76,77,110,111,78,93,59,60,76,77,110,111,147,148,110,111,149,150,110,111,147,148,110,111,149,150,110,111,44,45,79,79,97,115,
60,148,3,3,3,3,12,13,76,77,110,111,79,79,76,77,110,111,95,94,76,77,76,77,110,111,76,77,110,111,76,77,110,111,76,77,110,111,8,9,110,111,95,77,79,79,32,182,
81,81,81,81,81,81,81,30,14,94,110,111,79,79,93,94,110,111,112,93,93,94,93,94,110,111,76,77,110,111,76,77,110,111,76,77,110,111,25,26,110,111,112,94,79,79,32,189,
27,28,76,77,110,111,94,96,30,31,3,3,60,148,3,3,3,3,12,13,94,76,76,77,110,111,76,77,110,111,76,77,110,111,76,77,110,111,42,43,110,111,94,93,47,48,32,196,
44,45,93,94,110,111,76,77,29,81,81,81,81,81,81,81,81,81,81,30,14,93,93,94,110,111,76,77,110,111,76,77,110,111,76,77,110,111,59,60,110,111,148,47,64,81,81,81,
95,76,76,77,110,111,76,94,8,9,110,111,42,43,110,111,42,43,94,96,30,14,148,76,110,111,76,77,110,111,76,77,110,111,76,77,110,111,76,77,110,111,63,64,113,94,80,115,
112,93,93,94,110,111,93,94,25,26,110,111,59,60,110,111,59,60,94,114,114,30,14,94,110,111,76,77,110,111,76,77,110,111,76,77,110,111,76,77,110,111,81,81,29,94,97,115,
62,148,60,148,22,5,60,148,60,148,22,5,60,148,22,5,60,148,60,148,60,148,30,31,22,5,60,94,22,5,60,94,22,5,60,94,22,5,60,94,22,5,60,148,60,148,114,115,
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
